,gameId,gameCreation,gameDuration,queueId,mapId,seasonId,gameVersion,gameMode,gameType,summonerName,participantId,teamId,championId,spell1Id,spell2Id,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,creepsPerMinDeltas.10-20,creepsPerMinDeltas.0-10,creepsPerMinDeltas.30-end,creepsPerMinDeltas.20-30,xpPerMinDeltas.10-20,xpPerMinDeltas.0-10,xpPerMinDeltas.30-end,xpPerMinDeltas.20-30,goldPerMinDeltas.10-20,goldPerMinDeltas.0-10,goldPerMinDeltas.30-end,goldPerMinDeltas.20-30,damageTakenPerMinDeltas.10-20,damageTakenPerMinDeltas.0-10,damageTakenPerMinDeltas.30-end,damageTakenPerMinDeltas.20-30,accountId,summonerId,currentAccountId,firstBlood
0,4623870331,1599238194662,2323,420,11,13,10.18.333.8889,CLASSIC,MATCHED_GAME,Hide on bush,10,200,69,1,4,True,3040,3157,3135,3089,3027,3165,3363,12,2,13,10,2,884,0,360632,342977,8273,9381,0,39134,37922,300,910,26294,1,29172,38578,6783,55,29,37566,11779,24862,924,21668,19925,3,1,340,39,27,0,327,18,13,0,24,13,False,False,False,False,False,False,8230,18,0,0,8226,250,2315,0,8210,20,0,0,8237,637,0,0,8139,1598,0,0,8135,11087,5,0,8200,8100,5007,5008,5002,11.3,7.5,12.6,7.6000000000000005,697.9,414.0,851.8,579.0,481.5,264.1,857.4,629.2,435.8,321.4,1635.2,1540.9,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,04E81p_9PA-iPR8e4m1ZsU0Jo8ZsjDNJXJf-KZ3q1dg8Gg,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,False
1,4623721699,1599235189431,1928,420,11,13,10.18.333.8889,CLASSIC,MATCHED_GAME,Hide on bush,8,200,421,11,4,True,3143,3134,1400,3111,3026,1037,3364,6,2,8,5,1,201,0,253457,10894,211785,30777,0,13496,0,10089,3407,20763,1,28197,34977,3564,53,18,30813,9080,20677,1054,14455,12135,1,1,52,207,113,45,543,17,7,0,22,15,False,False,False,False,False,False,9923,34,87,0,8126,430,0,0,8136,14,30,0,8105,16,5,0,8275,21,0,0,8232,4,30,0,8100,8200,5005,5008,5002,0.7999999999999999,0.2,,2.5,576.1,334.8,,681.7,452.6,286.0,,498.7,1045.3000000000002,761.0,,1067.5,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,04E81p_9PA-iPR8e4m1ZsU0Jo8ZsjDNJXJf-KZ3q1dg8Gg,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,False
2,4623636204,1599233693218,1147,420,11,13,10.18.333.8889,CLASSIC,MATCHED_GAME,Hide on bush,8,200,517,12,4,False,3030,3157,0,3020,0,0,3340,3,3,2,3,1,863,0,72516,64594,5316,2605,0,8762,8457,305,0,5150,1,12175,3660,3018,16,14,16467,5234,10339,893,7648,7425,0,0,137,10,8,0,266,12,4,0,9,1,False,False,False,False,False,False,8021,2459,0,0,8009,1003,500,0,9105,14,0,0,8014,88,0,0,8345,3,0,0,8347,0,0,0,8000,8300,5008,5008,5002,,8.0,,,,493.7,,,,326.29999999999995,,,,426.6,,,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,04E81p_9PA-iPR8e4m1ZsU0Jo8ZsjDNJXJf-KZ3q1dg8Gg,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,True
3,4623488833,1599231506566,1444,420,11,13,10.18.333.8889,CLASSIC,MATCHED_GAME,Hide on bush,8,200,429,3,4,True,3153,3046,3006,1053,1038,0,3363,4,3,5,2,1,533,0,116801,3452,110037,3312,492,11675,847,10617,210,1734,1,10560,11911,4385,21,14,10646,2972,7299,374,10609,9975,1,0,194,17,5,8,244,14,1,0,9,6,False,False,False,False,,,9923,41,85,0,8139,459,0,0,8120,1,6,4,8135,1020,5,0,9101,3079,3868,0,9103,0,0,0,8100,8000,5005,5008,5002,10.1,7.6,,,599.7,414.7,,,582.9000000000001,256.7,,,550.0999999999999,371.3,,,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,04E81p_9PA-iPR8e4m1ZsU0Jo8ZsjDNJXJf-KZ3q1dg8Gg,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,True
4,4621710361,1599155450087,1759,420,11,13,10.18.333.8889,CLASSIC,MATCHED_GAME,Hide on bush,2,100,84,14,4,True,3146,3157,2055,1056,3020,3089,3363,7,1,3,7,2,1701,0,151026,125804,22382,2838,0,19594,16748,1916,930,10719,1,13681,3735,688,34,3,17428,6092,11004,331,12727,12175,0,0,259,14,4,9,54,17,7,0,15,5,False,False,False,False,,,8021,3075,0,0,8009,334,50,0,9105,17,20,0,8014,286,0,0,8139,932,0,0,8135,2286,5,0,8000,8100,5008,5008,5002,11.3,7.6,,,646.9,462.1,,,469.9,256.9,,,484.8,231.3,,,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,04E81p_9PA-iPR8e4m1ZsU0Jo8ZsjDNJXJf-KZ3q1dg8Gg,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,True
5,4621665985,1599152921125,1817,420,11,13,10.18.333.8889,CLASSIC,MATCHED_GAME,Hide on bush,7,200,875,11,4,False,3190,2055,1401,3111,3742,0,3364,2,5,11,0,1,733,0,147316,50941,83434,12940,0,15232,1859,8525,4847,6531,1,36385,5518,0,30,33,34449,15608,17783,1057,9716,9600,0,0,44,120,101,4,381,14,10,0,10,7,False,False,False,False,False,False,8230,20,0,0,8275,21,0,0,8234,10059,0,0,8232,2,10,0,8345,3,0,0,8410,65,0,0,8200,8300,5005,5008,5002,2.0,0.4,,2.0,461.5,351.79999999999995,,484.1,323.0,268.6,,326.5,1293.4,745.7,,1405.8,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,04E81p_9PA-iPR8e4m1ZsU0Jo8ZsjDNJXJf-KZ3q1dg8Gg,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,True
6,4620368148,1599119014574,1271,420,11,13,10.18.333.8889,CLASSIC,MATCHED_GAME,Hide on bush,1,100,236,12,4,False,3153,3044,3067,1055,3006,1055,3363,3,2,0,2,1,478,0,85151,2467,81843,840,0,10597,818,9712,66,484,1,6190,2437,196,19,2,8352,1822,6463,66,8368,7900,0,0,154,16,5,4,55,12,2,0,9,3,False,False,False,False,,,8005,857,578,278,9101,3552,2393,0,9104,20,10,0,8014,167,0,0,8304,10,3,0,8345,3,0,0,8000,8300,5005,5008,5002,6.9,8.0,,,490.4,432.90000000000003,,,466.90000000000003,296.9,,,446.5,327.2,,,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,04E81p_9PA-iPR8e4m1ZsU0Jo8ZsjDNJXJf-KZ3q1dg8Gg,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,False
7,4620363672,1599117254245,1231,420,11,13,10.18.333.8889,CLASSIC,MATCHED_GAME,Hide on bush,8,200,429,3,4,False,2031,1083,3155,3006,3181,1036,3340,3,11,2,2,1,171,0,51768,481,51143,143,0,8458,481,7833,143,754,1,8612,27,27,22,10,17450,5350,11743,356,7462,7150,0,0,131,2,2,0,150,11,7,0,10,4,False,False,False,False,False,False,9923,48,84,0,8143,261,0,0,8120,2,6,3,8135,239,3,0,9101,695,997,0,9103,0,0,0,8100,8000,5005,5008,5003,7.0,6.1,,,426.20000000000005,355.20000000000005,,,408.0,236.89999999999998,,,1093.3,462.79999999999995,,,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,04E81p_9PA-iPR8e4m1ZsU0Jo8ZsjDNJXJf-KZ3q1dg8Gg,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,False
8,4619345706,1599065959945,1273,420,11,13,10.18.333.8889,CLASSIC,MATCHED_GAME,Hide on bush,8,200,61,3,4,False,3040,2031,1026,1056,3916,3020,3363,1,5,5,0,1,566,0,77713,68555,9105,52,0,15480,14221,1258,0,55,1,6867,1177,0,13,20,12013,3279,8644,90,8230,7700,0,0,174,4,4,0,164,12,4,0,11,2,False,False,False,False,False,False,8230,16,0,0,8226,250,1265,0,8210,0,0,0,8237,547,0,0,8345,3,0,0,8347,0,0,0,8200,8300,5005,5008,5002,7.6,9.1,,,489.29999999999995,456.1,,,449.5,297.29999999999995,,,806.1,164.70000000000002,,,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,04E81p_9PA-iPR8e4m1ZsU0Jo8ZsjDNJXJf-KZ3q1dg8Gg,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,False
9,4619269677,1599062898101,2375,420,11,13,10.18.333.8889,CLASSIC,MATCHED_GAME,Hide on bush,2,100,61,12,4,True,3040,2421,3135,3089,3020,3151,3363,12,7,10,4,2,700,0,229039,212591,16323,125,0,40039,37351,2562,125,3879,1,21351,24608,4180,64,27,26861,9880,16888,93,18064,16400,1,0,237,40,17,9,310,18,6,0,19,3,False,False,False,False,False,True,8230,21,0,0,8226,250,1763,0,8210,0,0,0,8237,667,0,0,8345,3,0,0,8347,0,0,0,8200,8300,5005,5008,5002,7.6,9.1,1.2,5.5,571.3,447.6,439.2,620.5,485.29999999999995,299.7,471.8,446.5,911.5,246.8,304.4,689.8,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,04E81p_9PA-iPR8e4m1ZsU0Jo8ZsjDNJXJf-KZ3q1dg8Gg,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,False
10,4619182931,1599060022881,1500,420,11,13,10.18.333.8889,CLASSIC,MATCHED_GAME,Hide on bush,4,100,236,1,4,False,3046,0,0,3508,3031,3006,3363,2,4,0,0,1,351,0,167272,5056,162215,0,577,14184,918,13265,0,1110,1,8193,5897,3506,29,0,14452,3283,10822,346,11097,11050,1,0,227,24,13,8,0,14,4,0,12,7,False,False,False,False,False,False,8005,1023,605,418,9101,1047,1290,0,9103,0,0,0,8014,148,0,0,8304,11,1,5,8345,3,0,0,8000,8300,5005,5008,5003,9.4,7.7,,,613.0,395.20000000000005,,,577.0999999999999,279.8,,,663.5,329.3,,,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,04E81p_9PA-iPR8e4m1ZsU0Jo8ZsjDNJXJf-KZ3q1dg8Gg,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,False
11,4619138259,1599058517883,1219,420,11,13,10.18.333.8889,CLASSIC,MATCHED_GAME,Hide on bush,6,200,84,12,4,True,3146,3157,0,0,1054,3020,3340,3,1,3,3,1,780,0,69828,58561,11267,0,0,9101,7249,1852,0,3565,1,7263,3457,1601,13,2,12060,4374,7496,190,8344,8050,1,0,132,8,4,1,50,12,0,0,6,5,False,False,False,False,,,8021,2009,0,0,8009,230,50,0,9105,15,10,0,8014,192,0,0,8444,681,0,0,8451,139,0,0,8000,8400,5008,5008,5002,6.199999999999999,6.300000000000001,,,474.9,425.0,,,412.2,350.20000000000005,,,736.5,438.0,,,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,04E81p_9PA-iPR8e4m1ZsU0Jo8ZsjDNJXJf-KZ3q1dg8Gg,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,False
12,4616968349,1598981806289,1930,420,11,13,10.16.330.9186,CLASSIC,MATCHED_GAME,Hide on bush,6,200,98,14,4,True,3860,3193,3109,2055,3111,1031,3364,2,6,15,0,1,498,0,28541,7396,10227,10917,0,5358,1550,3005,802,3401,1,30765,13715,3699,117,24,20748,6131,13570,1046,9424,7850,3,0,52,0,0,0,92,14,10,0,63,24,False,False,False,False,False,True,8465,3208,0,0,8446,1436,0,0,8444,1021,0,0,8242,0,0,0,8136,25,30,0,8106,5,0,0,8400,8100,5005,5008,5002,1.8,1.2000000000000002,,1.5,274.70000000000005,215.0,,521.7,261.2,177.7,,304.5,566.2,392.1,,854.9,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,04E81p_9PA-iPR8e4m1ZsU0Jo8ZsjDNJXJf-KZ3q1dg8Gg,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,False
13,4616935177,1598979293617,1443,420,11,13,10.16.330.9186,CLASSIC,MATCHED_GAME,Hide on bush,9,200,39,12,4,False,3153,3071,0,0,3047,0,3340,6,10,0,2,2,169,0,84119,16779,64123,3217,0,12971,4955,7998,17,3921,1,17618,2019,739,16,20,22299,9111,12670,517,8657,8200,0,0,139,4,4,0,96,11,4,0,11,1,False,False,False,False,False,False,8010,464,0,0,9101,1677,2231,0,9105,18,10,0,8014,271,0,0,8352,263,1296,906,8345,3,0,0,8000,8300,5005,5008,5003,5.9,6.800000000000001,,,401.9,367.1,,,405.9,278.8,,,952.1999999999999,701.4000000000001,,,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,04E81p_9PA-iPR8e4m1ZsU0Jo8ZsjDNJXJf-KZ3q1dg8Gg,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,False
14,4617001585,1598977656058,1215,420,11,13,10.16.330.9186,CLASSIC,MATCHED_GAME,Hide on bush,2,100,236,1,4,True,3153,1018,3071,3006,0,1055,3340,3,0,2,3,2,0,0,93902,1746,92155,0,325,12244,696,11548,0,745,1,6454,4693,4693,21,2,7571,1998,5449,124,8657,8685,1,0,189,4,0,4,14,11,1,0,6,10,False,False,False,False,,,8005,703,499,204,9101,1555,2047,0,9104,15,50,0,8014,144,0,0,8345,3,0,0,8304,10,3,0,8000,8300,5005,5008,5002,10.5,8.4,,,497.4,335.8,,,499.20000000000005,313.29999999999995,,,509.1,248.0,,,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,04E81p_9PA-iPR8e4m1ZsU0Jo8ZsjDNJXJf-KZ3q1dg8Gg,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,True
15,4616755990,1598975017869,2042,420,11,13,10.16.330.9186,CLASSIC,MATCHED_GAME,Hide on bush,3,100,3,12,4,True,3152,3157,3089,3111,1082,1026,3364,3,4,21,0,1,585,0,169837,160860,3259,5717,0,16819,16421,321,76,4513,1,39644,10494,2575,50,41,26474,1860,23553,1061,13134,11750,1,1,230,16,16,0,148,18,4,0,18,10,True,False,False,False,False,False,8124,594,0,0,8143,504,0,0,8136,13,30,0,8134,79,5,0,8275,10,0,0,8210,0,0,0,8100,8200,5007,5008,5003,9.5,7.1,,4.9,605.4,420.1,,556.1,414.2,276.5,,382.2,767.7,318.4,,1210.7,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,04E81p_9PA-iPR8e4m1ZsU0Jo8ZsjDNJXJf-KZ3q1dg8Gg,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,True
16,4615089783,1598931146518,1883,420,11,13,10.16.330.9186,CLASSIC,MATCHED_GAME,Hide on bush,10,200,80,14,4,False,3857,1031,3071,3179,3047,1057,3364,6,5,7,2,1,522,0,33206,1188,28212,3805,0,12718,1021,11198,498,2431,1,10180,0,0,130,23,16378,5849,9398,1129,9494,9345,0,0,75,13,0,1,67,12,9,0,66,29,True,False,False,False,False,False,8439,377,0,0,8446,0,0,0,8473,454,0,0,8242,0,0,0,8136,29,30,0,8143,259,0,0,8400,8100,5008,5008,5002,2.3,2.7,,2.2,319.0,318.9,,264.4,315.6,295.6,,257.1,357.8,537.3,,652.2,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,04E81p_9PA-iPR8e4m1ZsU0Jo8ZsjDNJXJf-KZ3q1dg8Gg,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,True
17,4614877394,1598896455845,1607,420,11,13,10.16.330.9186,CLASSIC,MATCHED_GAME,Hide on bush,1,100,80,14,4,True,3857,3044,2055,3067,3111,3179,3364,2,2,7,2,1,487,0,25518,106,19728,5684,0,6354,106,5632,616,2190,1,7968,1952,0,73,9,12931,3408,8943,579,7031,6650,0,0,47,4,0,0,54,12,6,0,45,16,False,False,False,False,,,8005,520,258,262,9111,751,180,0,9105,25,50,0,8014,67,0,0,8136,19,30,0,8143,90,0,0,8000,8100,5008,5008,5002,1.7,2.2,,,273.5,249.7,,,283.1,178.2,,,587.5,246.5,,,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,04E81p_9PA-iPR8e4m1ZsU0Jo8ZsjDNJXJf-KZ3q1dg8Gg,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,False
18,4614805826,1598894168236,1801,420,11,13,10.16.330.9186,CLASSIC,MATCHED_GAME,Hide on bush,6,200,126,3,4,True,3142,3134,3036,3009,3155,1055,3340,5,2,6,3,2,705,0,136238,12357,122990,891,0,25255,2134,22761,359,2477,1,9801,5621,4358,27,9,13069,5733,6995,340,11869,10675,1,0,204,10,5,0,132,15,1,0,10,6,False,False,False,False,False,True,8230,13,0,0,8275,7,0,0,8210,0,0,0,8236,28,0,0,8120,1,8,6,8139,804,0,0,8200,8100,5008,5008,5003,7.4,7.5,,5.5,390.4,414.9,,529.9,380.1,316.29999999999995,,440.2,359.3,377.6,,570.0,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,04E81p_9PA-iPR8e4m1ZsU0Jo8ZsjDNJXJf-KZ3q1dg8Gg,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,True
19,4614871272,1598892053276,1782,420,11,13,10.16.330.9186,CLASSIC,MATCHED_GAME,Hide on bush,5,100,876,3,4,False,3157,2055,0,3151,3116,3009,3363,4,4,8,0,1,690,0,131810,85426,8544,37839,0,16621,12311,693,3616,6158,1,18113,384,210,32,45,24862,4915,19619,327,11791,10525,0,0,224,18,14,4,1117,15,8,0,11,9,False,False,False,False,False,False,8010,48,0,0,8009,942,500,0,9105,13,50,0,8014,189,0,0,8139,1251,0,0,8135,4412,5,0,8000,8100,5005,5008,5003,7.9,9.9,,,533.5,526.8,,,441.6,358.5,,,1005.8,307.5,,,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,04E81p_9PA-iPR8e4m1ZsU0Jo8ZsjDNJXJf-KZ3q1dg8Gg,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,False
20,4614727044,1598889342868,2204,420,11,13,10.16.330.9186,CLASSIC,MATCHED_GAME,Hide on bush,5,100,5,11,6,False,3143,3800,3193,3047,2055,1413,3364,7,8,15,2,2,635,0,181530,59912,112564,9054,0,14563,2266,10609,1688,17546,1,58823,19857,1569,55,27,52539,14530,34556,3451,13612,13855,0,0,32,145,92,19,586,17,14,0,20,5,False,False,False,False,False,True,8124,450,0,0,8143,420,0,0,8136,10,30,0,8134,70,5,0,8234,14489,0,0,8275,24,0,0,8100,8200,5005,5008,5002,1.5,0.2,0.4,1.3,576.8,300.0,430.4,537.2,470.20000000000005,262.5,312.4,393.7,1161.1,676.0,2209.6,1644.9,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,04E81p_9PA-iPR8e4m1ZsU0Jo8ZsjDNJXJf-KZ3q1dg8Gg,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,False
21,4614742299,1598887363031,974,420,11,13,10.16.330.9186,CLASSIC,MATCHED_GAME,Hide on bush,6,200,10,12,4,True,3146,2033,2010,3006,3101,0,3340,5,0,4,5,2,0,0,61299,32660,26161,2477,0,9514,6105,3408,0,4531,5,3252,5051,3015,12,7,7359,2755,4604,0,8298,5950,1,0,142,4,4,0,184,12,2,0,6,0,False,False,False,True,,,8008,1,40,0,8009,562,500,0,9104,14,50,0,8014,272,0,0,8304,12,0,0,8345,3,0,0,8000,8300,5005,5008,5003,,8.8,,,,473.9,,,,287.70000000000005,,,,318.0,,,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,04E81p_9PA-iPR8e4m1ZsU0Jo8ZsjDNJXJf-KZ3q1dg8Gg,eE5ozQiaIs4T0TASXyXDhDuGr9dEhVlNS38SsbdTF_OS,False
